iter	Passed	Remaining
406	5401	3888
407	5413	3874
408	5425	3860
409	5437	3846
410	5450	3832
411	5462	3818
412	5474	3804
413	5486	3790
414	5498	3776
415	5511	3762
416	5523	3748
417	5535	3734
418	5546	3719
419	5558	3705
420	5570	3691
421	5582	3677
422	5592	3662
423	5607	3649
424	5620	3637
425	5634	3623
426	5663	3620
427	5678	3609
428	5693	3596
429	5708	3584
430	5722	3571
431	5736	3558
432	5748	3544
433	5759	3529
434	5770	3515
435	5783	3502
436	5795	3488
437	5806	3473
438	5819	3459
439	5832	3446
440	5847	3434
441	5858	3419
442	5869	3405
443	5882	3391
444	5893	3377
445	5903	3362
446	5915	3348
447	5927	3334
448	5938	3319
449	5952	3306
450	5963	3292
451	5976	3279
452	5987	3264
453	5998	3250
454	6010	3236
455	6021	3221
456	6035	3209
457	6049	3196
458	6063	3183
459	6076	3170
460	6089	3157
461	6101	3143
462	6113	3129
463	6126	3115
464	6136	3101
465	6149	3088
466	6164	3075
467	6178	3062
468	6192	3050
469	6205	3036
470	6217	3022
471	6231	3009
472	6244	2996
473	6256	2983
474	6268	2969
475	6281	2956
476	6293	2942
477	6306	2928
478	6319	2915
479	6331	2902
480	6344	2888
481	6358	2875
482	6370	2862
483	6381	2847
484	6392	2833
485	6404	2820
486	6415	2805
487	6426	2791
488	6438	2778
489	6448	2763
490	6460	2750
491	6472	2736
492	6484	2722
493	6494	2708
494	6505	2694
495	6517	2680
496	6529	2666
497	6540	2653
498	6553	2639
499	6563	2625
500	6576	2612
501	6588	2598
502	6598	2584
503	6610	2570
504	6621	2556
505	6635	2543
506	6649	2531
507	6661	2517
508	6674	2504
509	6686	2491
510	6697	2477
511	6708	2463
512	6719	2449
513	6730	2435
514	6741	2421
515	6753	2408
516	6765	2394
517	6775	2380
518	6789	2367
519	6800	2354
520	6811	2340
521	6822	2326
522	6833	2312
523	6845	2299
524	6855	2285
525	6867	2271
526	6878	2257
527	6889	2244
528	6901	2230
529	6913	2217
530	6923	2203
531	6936	2190
532	6949	2177
533	6961	2163
534	6971	2150
535	6985	2137
536	6997	2123
537	7007	2110
538	7018	2096
539	7030	2083
540	7041	2069
541	7052	2055
542	7064	2042
543	7077	2029
544	7088	2015
545	7100	2002
546	7112	1989
547	7124	1976
548	7135	1962
549	7146	1949
550	7157	1935
551	7168	1921
552	7180	1908
553	7192	1895
554	7202	1881
555	7215	1868
556	7228	1855
557	7239	1842
558	7250	1828
559	7261	1815
560	7273	1802
561	7285	1788
562	7296	1775
563	7308	1762
564	7319	1748
565	7331	1735
566	7343	1722
567	7355	1709
568	7367	1696
569	7378	1682
570	7390	1669
571	7402	1656
572	7413	1643
573	7425	1630
574	7437	1616
575	7447	1603
576	7458	1590
577	7471	1576
578	7481	1563
579	7493	1550
580	7505	1537
581	7515	1523
582	7528	1510
583	7539	1497
584	7550	1484
585	7561	1471
586	7573	1457
587	7584	1444
588	7596	1431
589	7607	1418
590	7620	1405
591	7634	1392
592	7647	1379
593	7661	1367
594	7672	1354
595	7684	1340
596	7695	1327
597	7707	1314
598	7718	1301
599	7729	1288
600	7741	1275
601	7754	1262
602	7766	1249
603	7777	1236
604	7788	1223
605	7800	1210
606	7811	1196
607	7822	1183
608	7836	1170
609	7849	1158
610	7859	1144
611	7872	1131
612	7884	1118
613	7897	1106
614	7913	1093
615	7926	1080
616	7938	1067
617	7953	1055
618	7967	1042
619	7980	1029
620	7992	1016
621	8003	1003
622	8015	990
623	8027	977
624	8039	964
625	8051	951
626	8064	938
627	8074	925
628	8086	912
629	8099	899
630	8113	887
631	8124	874
632	8134	861
633	8147	848
634	8159	835
635	8170	822
636	8182	809
637	8195	796
638	8206	783
639	8217	770
640	8229	757
641	8240	744
642	8250	731
643	8262	718
644	8273	705
645	8284	692
646	8296	679
647	8308	666
648	8318	653
649	8330	640
650	8343	627
651	8354	615
652	8365	602
653	8378	589
654	8390	576
655	8400	563
656	8411	550
657	8423	537
658	8432	524
659	8443	511
660	8455	498
661	8466	485
662	8478	473
663	8491	460
664	8502	447
665	8513	434
666	8524	421
667	8536	408
668	8547	396
669	8559	383
670	8571	370
671	8581	357
672	8594	344
673	8609	332
674	8621	319
675	8635	306
676	8648	293
677	8659	280
678	8671	268
679	8682	255
680	8694	242
681	8706	229
682	8717	216
683	8728	204
684	8740	191
685	8752	178
686	8763	165
687	8774	153
688	8785	140
689	8797	127
690	8809	114
691	8821	101
692	8832	89
693	8842	76
694	8853	63
695	8864	50
696	8875	38
697	8887	25
698	8899	12
699	8910	0
