iter	RMSE
419	0.3551599838
420	0.3551256702
421	0.3550979858
422	0.355090834
423	0.3550315988
424	0.3549903807
425	0.3549411804
426	0.3548962016
427	0.3548609051
428	0.3548040324
429	0.3547655147
430	0.3547283493
431	0.3546996671
432	0.3546651212
433	0.354662567
434	0.3546554438
435	0.3546143507
436	0.3545665194
437	0.3545552733
438	0.3545479877
439	0.3545242732
440	0.3545223062
441	0.3544904224
442	0.3544481543
443	0.3543945445
444	0.3543927031
445	0.3543784801
446	0.3543475924
447	0.3543433233
448	0.3543365892
449	0.3542999479
450	0.3542832977
451	0.3542028303
452	0.354170682
453	0.3541289043
454	0.354123971
455	0.3541187331
456	0.3540710805
457	0.3540386861
458	0.3539852672
459	0.3539262312
460	0.353892222
461	0.3538501026
462	0.3538008136
463	0.353753638
464	0.353746453
465	0.3537143842
466	0.3536414834
467	0.3536211639
468	0.3535854525
469	0.3535458423
470	0.3535439905
471	0.3535119034
472	0.3534383063
473	0.3534366346
474	0.3533926076
475	0.3533519974
476	0.3533498748
477	0.3533316574
478	0.3533204166
479	0.3532876369
480	0.3532349782
481	0.3531699276
482	0.3531476611
483	0.3531367557
484	0.353091378
485	0.3530727999
486	0.3530478191
487	0.3530204443
488	0.3529744057
489	0.3529722617
490	0.3529629106
491	0.3529268595
492	0.3528622692
493	0.352859761
494	0.3528271626
495	0.3527780977
496	0.3527240457
497	0.3526678536
498	0.3526095036
499	0.3525563601
500	0.352493654
501	0.3524652035
502	0.3524632241
503	0.3524196529
504	0.3524180848
505	0.3523718288
506	0.3523481229
507	0.3522989573
508	0.3522936553
509	0.3522432614
510	0.3522406389
511	0.3522204612
512	0.3522098203
513	0.3521425882
514	0.3521024515
515	0.3520584797
516	0.3520545607
517	0.3520046471
518	0.3519850958
519	0.3519833738
520	0.3519506914
521	0.351921178
522	0.3518986977
523	0.3518570479
524	0.3518335586
525	0.3517724388
526	0.3517692321
527	0.351761902
528	0.351718374
529	0.3516816613
530	0.3516191867
531	0.351534649
532	0.351492461
533	0.3514482814
534	0.3513931632
535	0.3513410832
536	0.3513281891
537	0.3513266214
538	0.3512754704
539	0.3512409713
540	0.351189674
541	0.3511349944
542	0.3510900619
543	0.3510865493
544	0.3510808699
545	0.3510777941
546	0.3510603025
547	0.3509936439
548	0.3509551005
549	0.350940886
550	0.3508753586
551	0.350870152
552	0.35083159
553	0.3507991661
554	0.3507623734
555	0.3507233143
556	0.3506856759
557	0.3506797249
558	0.3506249869
559	0.3505861816
560	0.3505385334
561	0.3504982274
562	0.350464497
563	0.350434415
564	0.3503988748
565	0.3503543505
566	0.3503220954
567	0.3502922432
568	0.3502734766
569	0.3502679038
570	0.3502169327
571	0.3501492846
572	0.3501468025
573	0.3500961624
574	0.3500628099
575	0.3500046203
576	0.3499929047
577	0.3499721512
578	0.3499625808
579	0.3499073945
580	0.3498995839
581	0.349871946
582	0.3498463394
583	0.3498432318
584	0.3498218749
585	0.3497720519
586	0.3497271914
587	0.3497064426
588	0.3496572208
589	0.3496320334
590	0.3496040363
591	0.3495712985
592	0.3495441706
593	0.3494807221
594	0.3494791148
595	0.3494417966
596	0.3493808946
597	0.349356437
598	0.3493547485
599	0.3493084602
600	0.34929641
601	0.3492406341
602	0.3491938009
603	0.3491759208
604	0.3491232704
605	0.3491105004
606	0.3490806749
607	0.3490593303
608	0.349021095
609	0.3489714476
610	0.348938151
611	0.3489181918
612	0.348916042
613	0.3488761267
614	0.3488663754
615	0.3488102099
616	0.3488066547
617	0.3487625956
618	0.3487325497
619	0.3487249579
620	0.3486698761
621	0.3486331325
622	0.3486037807
623	0.3485672682
624	0.3485079839
625	0.3485011012
626	0.3484445615
627	0.3484388382
628	0.3483942591
629	0.3483329993
630	0.3482845238
631	0.3482321232
632	0.3482126551
633	0.3481878342
634	0.3481401537
635	0.3480918649
636	0.3480191038
637	0.3479744812
638	0.3479693537
639	0.3479447199
640	0.3479095048
641	0.3478778446
642	0.3478766997
643	0.3478746069
644	0.3478586049
645	0.347850921
646	0.3478115601
647	0.3477694395
648	0.3477274959
649	0.347702993
650	0.3476761412
651	0.3476477687
652	0.3476463633
653	0.3476088812
654	0.3475847391
655	0.347552905
656	0.3475225011
657	0.3474911873
658	0.3474882909
659	0.3474839136
660	0.3474593008
661	0.3474221129
662	0.3474206534
663	0.3473768156
664	0.3473308591
665	0.3472977179
666	0.3472954273
667	0.3472647926
668	0.3472118292
669	0.3471520875
670	0.3471483225
671	0.3471258509
672	0.3471249376
673	0.3471020077
674	0.3470970746
675	0.3470368569
676	0.3470130682
677	0.3470067095
678	0.3469492935
679	0.3469212009
680	0.3468883606
681	0.3468512978
682	0.3468156119
683	0.3467839177
684	0.3467643243
685	0.3467241763
686	0.3466959991
687	0.3466723503
688	0.3466643454
689	0.3466165093
690	0.3465911799
691	0.3465589022
692	0.3465492776
693	0.3465172631
694	0.3464881484
695	0.3464701854
696	0.3464274586
697	0.3463683051
698	0.346349254
699	0.3463177716
